v 0 6 
v 1 8 
v 2 6 
v 3 6 
v 4 8 
v 5 6 
v 6 6 
v 7 8 
v 8 6 
v 9 6 
v 10 6 
v 11 6 
v 12 7 
v 13 6 
v 14 6 
v 15 8 
v 16 6 
v 17 6 
v 18 6 
v 19 6 
v 20 8 
v 21 6 
v 22 7 
v 23 7 
v 24 6 
v 25 6 
v 26 6 
v 27 8 
v 28 6 
v 29 6 
v 30 6 
v 31 6 
v 32 6 
v 33 6 
v 34 6 
e 0 1 1 
e 1 2 1 
e 2 3 1 
e 3 4 1 
e 4 5 1 
e 3 6 2 
e 6 7 1 
e 7 8 1 
e 6 9 1 
e 9 10 2 
e 10 11 1 
e 11 12 1 
e 12 13 1 
e 13 14 1 
e 14 15 1 
e 15 16 1 
e 16 17 2 
e 17 18 1 
e 18 14 2 
e 12 19 1 
e 19 20 2 
e 19 21 1 
e 21 22 1 
e 22 23 1 
e 23 24 1 
e 24 25 2 
e 25 26 1 
e 26 27 2 
e 26 28 1 
e 28 29 2 
e 29 30 1 
e 30 31 1 
e 30 32 2 
e 32 25 1 
e 24 33 1 
e 33 11 1 
e 33 21 2 
e 10 34 1 
e 34 2 2 
